id,persona_id,persona,persona_group,task_id,task,required_authority_classes,required_source_classes,candidate_source_ids,acceptable_evidence,currency_tolerance,likely_failure_modes,definition_of_success,professional_escalation
P06-T11,P06,Paralegal,legal-practice,T11,"Prepare litigation, advice, policy, compliance or enforcement work",binding-authority | persuasive-authority | official-guidance,SC01 | SC09 | SC17 | SC20,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC023 | SRC024 | SRC026 | SRC031 | SRC033 | SRC034,"Authority-ranked source set, selected passages, adverse material, currency and assumptions.",Live before issue/decision.,confirmation bias | material adverse source omitted | official guidance elevated above law,"Deliverable is reproducible, balanced and professionally reviewable.",True
P06-T13,P06,Paralegal,legal-practice,T13,Monitor legal change,binding-authority | procedural-material | delegated-administrative-rules | official-guidance,SC01 | SC09 | SC17 | SC04 | SC21 | SC24,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC023 | SRC024 | SRC026 | SRC004 | SRC032 | SRC035,"Official feeds/logs, hashes, version differences and impact classification.",Source-specific service-level objective; critical sources daily or event-driven.,silent source deletion | publication event missed | cosmetic change escalated as legal change,"Change event is detected, typed, evidenced, impact-assessed and reviewable.",False
P06-T17,P06,Paralegal,legal-practice,T17,Audit an AI-generated legal answer,binding-authority | persuasive-authority | procedural-material,SC01 | SC09 | SC17,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC023 | SRC024 | SRC026,"Proposition-to-citation ledger, source hashes, version context and coverage declaration.",Re-verify all material current-law propositions.,invented citation | citation does not support proposition | hidden retrieval gap,"Every material proposition is supported, classified and risk-rated; hard failures cap the answer.",True
P06-T20,P06,Paralegal,legal-practice,T20,Verify citation and identity,binding-authority | history | legal-service-information,SC01 | SC09 | SC17 | SC12 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC023 | SRC024 | SRC026 | SRC013 | SRC012 | SRC067,"Source-native identifiers, exact/qualified mappings, issuer and temporal identity.",Identity mapping versioned; live where institutions/citations evolve.,fuzzy match asserted as sameAs | parallel citations collapsed | wrong version joined,"Identity decision has mapping type, confidence, evidence and unresolved conflicts.",False
P07-T01,P07,Judge,judiciary,T01,Locate controlling authority,binding-authority,SC01 | SC09 | SC13 | SC15 | SC10,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC068 | SRC069 | SRC018 | SRC019 | SRC020 | SRC012,Official work/case/rule identity plus selected passage and court/institutional competence.,Live verification at answer time for current advice; historical date fixed for retrospective research. Qualified human review is mandatory before consequential use.,topical but non-controlling source | later appeal or higher authority missed | guidance presented as law,"Controlling authority is identified, hierarchy and jurisdiction are stated, and every material proposition has a pinpoint.",True
P07-T02,P07,Judge,judiciary,T02,Determine whether law is in force,binding-authority,SC01 | SC09 | SC13 | SC15 | SC04 | SC05,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC068 | SRC069 | SRC018 | SRC019 | SRC020 | SRC004,"Versioned legislation, commencement/effect records, extent and amendments with live official verification.",Zero tolerance for stale current-law answers. Qualified human review is mandatory before consequential use.,latest text confused with in-force text | unapplied effect ignored | commencement or savings omitted,"Answer states the relevant version, commencement, extent, amendments, savings and uncertainty.",True
P07-T03,P07,Judge,judiciary,T03,Point-in-time and historical research,binding-authority | history,SC01 | SC09 | SC13 | SC15 | SC04 | SC35,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC068 | SRC069 | SRC018 | SRC019 | SRC020 | SRC004,"Dated expressions, amendment chronology, archived official material and source hashes.",Exact historical cut-off; later material segregated. Qualified human review is mandatory before consequential use.,anachronism | current consolidation substituted for historical text | archive date mistaken for legal date,A reproducible dated state and change chronology are supplied.,True
P07-T04,P07,Judge,judiciary,T04,Territorial extent and jurisdiction,binding-authority | legal-service-information,SC01 | SC09 | SC13 | SC15 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC068 | SRC069 | SRC018 | SRC019 | SRC020 | SRC012,"Extent metadata, devolution/competence provisions, court or regulator jurisdiction sources.",Live for current competence; exact for historical jurisdiction. Qualified human review is mandatory before consequential use.,UK-wide assumption | extent confused with application | court/body identity conflated,"Territory, legal system, institutional competence and exceptions are explicit.",True
P07-T05,P07,Judge,judiciary,T05,"Trace amendments, commencement and repeal",binding-authority,SC01 | SC09 | SC13 | SC15 | SC05,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC068 | SRC069 | SRC018 | SRC019 | SRC020 | SRC003,"Official effect feeds, amending instruments/provisions, commencement orders and selected passages.",Live verification at answer time. Qualified human review is mandatory before consequential use.,absence of recorded effect treated as no effect | prospective effect treated as operative | repeal savings omitted,Bidirectional change graph and current application status are evidenced.,True
P07-T06,P07,Judge,judiciary,T06,Identify judicial interpretation and treatment,binding-authority | persuasive-authority,SC01 | SC09 | SC13 | SC15 | SC10,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC068 | SRC069 | SRC018 | SRC019 | SRC020 | SRC012,"Official judgments, cited passage, court hierarchy, later treatment and appeal status.",Live citator/treatment check before reliance. Qualified human review is mandatory before consequential use.,citation occurrence treated as approval | headnote substituted for judgment | later reversal missed,Treatment verbs are passage-evidenced and hierarchy/date qualified.,True
P07-T09,P07,Judge,judiciary,T09,Apply rules to facts,binding-authority | persuasive-authority,SC01 | SC09 | SC13 | SC15,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC068 | SRC069 | SRC018 | SRC019 | SRC020,"Controlling text/cases, issue-element mapping, stated factual assumptions and uncertainty.",Live for current advice; professional review required. Qualified human review is mandatory before consequential use.,facts invented | legal conclusion overconfident | discretion treated as rule,"Elements, exceptions, burdens and missing facts are mapped, with escalation.",True
P07-T10,P07,Judge,judiciary,T10,"Find procedural steps, deadlines, forms and fees",procedural-material | binding-authority | legal-service-information,SC01 | SC09 | SC13 | SC15 | SC16 | SC17,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC068 | SRC069 | SRC018 | SRC019 | SRC020 | SRC023,Current rule/order/practice direction plus live form/fee/service verification.,Same-day/live verification before action. Qualified human review is mandatory before consequential use.,outdated form/fee | wrong forum | guidance deadline not checked against rule,Actionable steps cite the operative procedural passage and current service artefacts.,True
P07-T11,P07,Judge,judiciary,T11,"Prepare litigation, advice, policy, compliance or enforcement work",binding-authority | persuasive-authority | official-guidance,SC01 | SC09 | SC13 | SC15 | SC20,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC068 | SRC069 | SRC018 | SRC019 | SRC020 | SRC031,"Authority-ranked source set, selected passages, adverse material, currency and assumptions.",Live before issue/decision. Qualified human review is mandatory before consequential use.,confirmation bias | material adverse source omitted | official guidance elevated above law,"Deliverable is reproducible, balanced and professionally reviewable.",True
P07-T17,P07,Judge,judiciary,T17,Audit an AI-generated legal answer,binding-authority | persuasive-authority | procedural-material,SC01 | SC09 | SC13 | SC15,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC068 | SRC069 | SRC018 | SRC019 | SRC020,"Proposition-to-citation ledger, source hashes, version context and coverage declaration.",Re-verify all material current-law propositions. Qualified human review is mandatory before consequential use.,invented citation | citation does not support proposition | hidden retrieval gap,"Every material proposition is supported, classified and risk-rated; hard failures cap the answer.",True
P07-T19,P07,Judge,judiciary,T19,Identify remedies and enforcement outcomes,binding-authority | procedural-material | delegated-administrative-rules | persuasive-authority,SC01 | SC09 | SC13 | SC15 | SC17 | SC21 | SC23,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC068 | SRC069 | SRC018 | SRC019 | SRC020 | SRC023,"Operative remedy provisions, procedure, official decisions/notices and appeal status.",Live for current remedies and routes. Qualified human review is mandatory before consequential use.,past outcome treated as guaranteed | appeal route missed | regulator summary substituted for notice,"Remedy conditions, forum, deadline, discretion and evidence are explicit.",True
P07-T20,P07,Judge,judiciary,T20,Verify citation and identity,binding-authority | history | legal-service-information,SC01 | SC09 | SC13 | SC15 | SC12 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC068 | SRC069 | SRC018 | SRC019 | SRC020 | SRC013,"Source-native identifiers, exact/qualified mappings, issuer and temporal identity.",Identity mapping versioned; live where institutions/citations evolve. Qualified human review is mandatory before consequential use.,fuzzy match asserted as sameAs | parallel citations collapsed | wrong version joined,"Identity decision has mapping type, confidence, evidence and unresolved conflicts.",True
P08-T01,P08,Tribunal member,judiciary,T01,Locate controlling authority,binding-authority,SC01 | SC10 | SC15 | SC20 | SC09,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC012 | SRC018 | SRC019 | SRC020 | SRC031 | SRC033 | SRC034,Official work/case/rule identity plus selected passage and court/institutional competence.,Live verification at answer time for current advice; historical date fixed for retrospective research. Qualified human review is mandatory before consequential use.,topical but non-controlling source | later appeal or higher authority missed | guidance presented as law,"Controlling authority is identified, hierarchy and jurisdiction are stated, and every material proposition has a pinpoint.",True
P08-T02,P08,Tribunal member,judiciary,T02,Determine whether law is in force,binding-authority,SC01 | SC10 | SC15 | SC20 | SC04 | SC05,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC012 | SRC018 | SRC019 | SRC020 | SRC031 | SRC033 | SRC034,"Versioned legislation, commencement/effect records, extent and amendments with live official verification.",Zero tolerance for stale current-law answers. Qualified human review is mandatory before consequential use.,latest text confused with in-force text | unapplied effect ignored | commencement or savings omitted,"Answer states the relevant version, commencement, extent, amendments, savings and uncertainty.",True
P08-T04,P08,Tribunal member,judiciary,T04,Territorial extent and jurisdiction,binding-authority | legal-service-information,SC01 | SC10 | SC15 | SC20 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC012 | SRC018 | SRC019 | SRC020 | SRC031 | SRC033 | SRC034,"Extent metadata, devolution/competence provisions, court or regulator jurisdiction sources.",Live for current competence; exact for historical jurisdiction. Qualified human review is mandatory before consequential use.,UK-wide assumption | extent confused with application | court/body identity conflated,"Territory, legal system, institutional competence and exceptions are explicit.",True
